id,name,region,weekday,friday,saturday,sunday,tel,seats,lan
95,山王パークタワー店,東京都千代田区,07:00～22:00,07:00～22:00,08:00～18:00,08:00～18:00,03-3502-0323,108,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
905,霞ダイニング店,東京都千代田区,07:00～21:00,07:00～21:00,08:00～18:00,None,03-5251-5551,28,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
371,丸の内ビル店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-5220-7748,40,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
869,大手町カンファレンスセンター店,東京都千代田区,07:00～22:00,07:00～22:00,08:00～19:00,None,03-6213-0650,16,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
895,丸の内パークビル店,東京都千代田区,07:00～22:00,07:00～22:00,08:00～22:00,08:00～22:00,03-5220-2082,6,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
956,アトレ秋葉原1店,東京都千代田区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-5289-3841,81,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
820,秋葉原駅前店,東京都千代田区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-5295-7380,42,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
227,神田駅前店,東京都千代田区,06:30～22:00,06:30～22:30,08:00～21:00,08:00～21:00,03-3251-7039,46,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
178,内神田店,東京都千代田区,07:00～21:00,07:00～21:00,08:00～19:00,08:00～19:00,03-3219-2711,36,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
394,神保町１丁目店,東京都千代田区,07:00～22:00,07:00～22:00,08:00～22:00,08:00～22:00,03-5217-0325,98,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
100,神田小川町２丁目店,東京都千代田区,07:00～22:00,07:00～22:00,09:00～22:00,09:00～22:00,03-5281-1115,52,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2,お茶の水村田ビル店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～22:00,08:00～21:00,03-3293-8835,96,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
98,淡路町駅前店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～22:00,08:00～21:00,03-5294-7850,42,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
448,飯田橋アイガーデンテラス店,東京都千代田区,07:00～21:00,07:00～21:00,07:00～19:00,07:00～19:00,03-3239-8222,54,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
657,北の丸スクエア店,東京都千代田区,06:30～22:00,06:30～22:00,08:00～20:00,08:00～20:00,03-3221-5431,36,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
111,九段下店,東京都千代田区,06:30～22:00,06:30～22:00,08:00～22:00,08:00～22:00,03-5275-1158,64,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
121,市ヶ谷駅前店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～22:00,08:00～21:00,03-3261-1881,45,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
33,麹町店,東京都千代田区,06:30～21:00,06:30～21:00,08:00～20:00,08:00～19:00,03-5226-3223,35,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
17,人形町店,東京都中央区,07:00～22:00,07:00～22:00,07:00～21:00,07:00～21:00,03-3669-2024,75,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
55,日本橋スルガビル店,東京都中央区,06:30～22:00,06:30～22:00,06:30～22:00,08:00～21:00,03-5200-2616,42,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
53,日本橋本町店,東京都中央区,07:00～21:00,07:00～21:00,08:00～21:00,08:00～21:00,03-5200-1008,48,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
357,茅場町店,東京都中央区,06:30～22:00,06:30～22:00,07:00～20:00,08:00～20:00,03-3660-1615,65,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
326,日本橋メトロピア店,東京都中央区,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,03-3231-8385,9,
99,八重洲さくら通り店,東京都中央区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-5203-1880,43,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
107,八重洲アーバンスクエア店,東京都中央区,07:00～20:00,07:00～20:00,09:00～20:00,10:00～19:00,03-3278-1012,28,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
3,八重洲地下街店,東京都中央区,06:30～22:00,06:30～22:00,06:30～22:00,06:30～22:00,03-3243-0421,65,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
128,京橋駅前店,東京都中央区,07:00～22:00,07:00～22:00,07:00～22:00,09:00～21:00,03-5202-8656,51,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
61,築地駅前店,東京都中央区,06:30～22:00,06:30～22:00,07:00～20:00,08:00～20:00,03-3545-2058,23,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
276,晴海 トリトンスクエア店,東京都中央区,07:00～20:00,07:00～20:00,09:00～17:00,None,03-5548-4478,17,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
902,銀座ファイブ店,東京都中央区,07:00～22:30,07:00～22:30,07:00～22:30,10:00～22:00,03-6252-5995,38,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1,銀座松屋通り店,東京都中央区,07:00～22:30,07:00～23:00,07:00～23:00,07:00～22:30,03-5250-2751,59,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
60,銀座コリドー通り店,東京都中央区,07:00～22:30,07:00～22:30,08:00～22:30,08:00～22:00,03-3575-0938,55,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
197,銀座マロニエ通り店,東京都中央区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-3567-5713,164,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
520,東銀座店,東京都中央区,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,03-3544-6240,64,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
759,聖路加国際病院店,東京都中央区,07:00～21:00,07:00～21:00,09:00～18:00,09:00～18:00,03-5148-5015,0,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
2022,TSUTAYA 神谷町駅前店,東京都港区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,03-3431-9001,68,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
90,虎ノ門２丁目タワー店,東京都港区,07:00～20:30,07:00～20:30,None,None,03-3592-5021,67,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
65,虎ノ門駅前店,東京都港区,06:30～22:00,06:30～22:00,08:00～19:00,08:00～19:00,03-5512-1102,64,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2057,TSUTAYA新橋店,東京都港区,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,03-5777-0651,55,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
108,新橋駅前店,東京都港区,06:30～22:00,06:30～22:30,07:00～22:30,08:00～21:00,03-3573-6815,59,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
780,芝大門店,東京都港区,06:30～21:00,06:30～21:00,07:00～20:00,07:00～20:00,03-6430-7950,38,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
361,ゆりかもめ新橋駅店,東京都港区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-3574-8860,17,docomo/ FLET'S（東）
82,浜松町東芝ビル店,東京都港区,06:30～20:00,06:30～20:00,None,None,03-3457-5782,45,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
83,城山ガーデン店,東京都港区,07:00～20:30,07:00～20:30,08:00～19:00,None,03-3431-7590,68,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
249,愛宕グリーンヒルズ店,東京都港区,07:00～21:00,07:00～21:00,08:00～19:00,09:00～19:00,03-3435-1755,48,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
772,カレッタ汐留店,東京都港区,07:00～22:00,07:00～22:00,09:00～21:00,09:00～21:00,03-5537-2471,25,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
439,汐留シティセンター店,東京都港区,07:00～22:00,07:00～22:00,10:00～19:00,10:00～18:00,03-5537-2780,38,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
593,ぺディ汐留店,東京都港区,07:00～22:00,07:00～22:00,08:00～20:00,08:00～20:00,03-6274-5021,44,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
705,慈恵大学病院店,東京都港区,07:00～19:00,07:00～19:00,07:00～19:00,None,03-5777-1672,12,
437,六本木ヒルズ メトロハット／ハリウッドプラザ店,東京都港区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,03-3403-7716,69,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2002,TSUTAYA TOKYO ROPPONGI店,東京都港区,07:00～28:00,07:00～28:00,07:00～28:00,07:00～28:00,03-5411-2667,161,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1197,アークヒルズサウスタワー店,東京都港区,07:00～22:00,07:00～22:00,08:00～21:00,08:00～21:00,03-5572-6835,85,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
134,六本木７丁目店,東京都港区,07:00～22:30,07:00～22:30,08:00～22:30,08:00～22:00,03-3475-3312,58,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
438,六本木ヒルズ ウエストウォーク店,東京都港区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,03-3403-7713,92,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
27,麻布十番店,東京都港区,06:30～22:00,06:30～22:30,07:00～22:30,07:00～22:00,03-5575-0917,67,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
848,六本木ヒルズ ウエストウォーク ラウンジ店,東京都港区,07:00～21:00,07:00～21:00,09:00～21:00,09:00～20:00,03-5771-1117,27,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
142,赤坂見附店,東京都港区,07:00～22:00,07:00～22:00,07:00～20:00,08:00～19:00,03-5570-1305,71,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
277,フォーシーズ溜池山王ビル店,東京都港区,07:00～22:00,07:00～22:00,08:00～20:00,08:00～19:00,03-5570-3010,70,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
202,赤坂溜池タワー店,東京都港区,07:00～19:00,07:00～19:00,None,None,03-3505-6810,51,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
944,国際新赤坂ビル店,東京都港区,07:00～22:00,07:00～22:00,08:00～20:00,09:00～20:00,03-5549-2158,31,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
660,東京ミッドタウン コンプレックス スタジオ店,東京都港区,07:00～23:00,07:00～24:00,07:00～24:00,07:00～23:00,03-5413-3518,91,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
40,アクセス表参道店,東京都港区,07:00～22:30,07:00～22:30,08:00～22:30,08:00～22:00,03-5466-2510,35,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
80,青山外苑西通り店,東京都港区,07:00～22:00,07:00～22:00,08:00～22:00,08:00～21:00,03-5412-3918,52,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
1035,青山一丁目店,東京都港区,07:00～21:00,07:00～21:00,07:00～21:00,07:30～20:00,03-5413-3640,78,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
15,南青山２丁目店,東京都港区,07:00～22:00,07:00～22:00,08:00～22:00,08:00～21:00,03-5410-3363,27,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
47,青山骨董通り店,東京都港区,07:00～21:00,07:00～21:00,08:00～21:00,08:00～21:00,03-5468-1608,40,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
410,南青山骨董通り店,東京都港区,07:00～22:00,07:00～22:00,08:00～22:00,08:00～21:00,03-5766-1405,48,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
6,アークヒルズ店,東京都港区,07:00～20:30,07:00～20:30,08:00～19:00,09:00～19:00,03-3224-3495,62,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
777,赤坂Bizタワー店,東京都港区,07:00～21:00,07:00～21:00,07:00～21:00,07:00～21:00,03-5574-8560,51,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
205,田町駅西口店,東京都港区,06:30～21:00,06:30～21:00,08:00～20:00,09:00～20:00,03-3452-8840,62,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
632,白金高輪店,東京都港区,07:00～22:00,07:00～22:00,08:00～21:00,08:00～21:00,03-5789-3124,36,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
25,品川インターシティ店,東京都港区,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,03-5462-8771,36,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
514,ＪＲ東海 品川駅店,東京都港区,06:30～22:00,06:30～22:00,07:00～22:00,07:00～22:00,03-6717-6548,113,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2029,ＪＲ東海 品川駅ラチ内店,東京都港区,06:00～21:30,06:00～21:30,06:00～21:00,06:00～21:00,03-6717-6538,6,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
338,アトレ上野店,東京都台東区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,03-5826-5855,101,SoftBank
301,御徒町春日通り店,東京都台東区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-5818-2277,93,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
232,上野マルイ店,東京都台東区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-3837-7470,74,
1087,上野恩賜公園店,東京都台東区,08:00～21:00,08:00～21:00,08:00～21:00,08:00～21:00,03-5834-1630,141,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
299,浅草駅前店,東京都台東区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-5828-1318,61,STARBUCKS/ SoftBank/ au/ Wi2300
203,浅草雷門通り店,東京都台東区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-5828-8091,73,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
474,東京ドームシティ ラクーア店,東京都文京区,08:00～22:00,08:00～22:00,08:00～22:00,08:00～22:00,03-3868-8061,79,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
152,水道橋後楽森ビル店,東京都文京区,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,03-5802-3901,56,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
770,東京ドームシティ ミーツポート店,東京都文京区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-5840-9275,29,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
26,本郷東大前店,東京都文京区,07:00～22:00,07:00～22:00,07:00～22:00,08:00～21:00,03-3818-1102,67,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
600,順天堂医院店,東京都文京区,07:00～21:00,07:00～21:00,07:00～21:00,10:00～19:00,03-5842-6325,34,
1142,東京医科歯科大学店,東京都文京区,06:30～21:00,06:30～21:00,06:30～21:00,08:00～19:00,03-5840-6806,44,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
689,東京大学工学部店,東京都文京区,08:00～20:00,08:00～20:00,09:00～20:00,09:00～20:00,03-5842-5716,9,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
191,王子駅前店,東京都北区,07:00～22:00,07:00～22:00,08:00～22:00,08:00～22:00,03-3911-7891,47,
851,アトレヴィ田端店,東京都北区,07:00～22:00,07:00～22:00,08:00～21:00,08:00～21:00,03-5832-6107,36,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
118,赤羽駅前店,東京都北区,07:00～22:30,07:00～22:30,08:00～22:30,08:00～22:30,03-3598-0121,44,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
850,ルミネ北千住店,東京都足立区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,03-5284-1416,58,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
562,東武北千住駅店,東京都足立区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,03-5813-5051,68,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1221,北千住マルイ店,東京都足立区,10:30～20:30,10:30～20:30,10:30～20:30,10:30～20:30,03-5284-3815,54,
264,金町駅南口店,東京都葛飾区,07:00～22:00,07:00～22:00,07:00～22:00,08:00～22:00,03-3826-2323,80,STARBUCKS/ SoftBank/ au/ Wi2300
656,アリオ亀有店,東京都葛飾区,09:30～23:00,09:30～23:00,09:30～23:00,09:30～23:00,03-3601-2209,58,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
987,錦糸町テルミナ2店,東京都墨田区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,03-5619-1601,95,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
347,錦糸町 丸井店,東京都墨田区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-3631-4701,73,
1040,東京スカイツリー・ソラマチ西1階店,東京都墨田区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,03-5610-3014,34,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1038,東京スカイツリー・ソラマチ東6階店,東京都墨田区,10:00～23:00,10:00～23:00,10:00～23:00,10:00～23:00,03-5610-2874,113,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
179,木場イトーヨーカドー店,東京都江東区,07:00～23:00,07:00～23:00,08:00～23:00,08:00～23:00,03-5606-2791,118,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1185,豊洲フォレシア店,東京都江東区,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,03-6219-7573,44,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
350,ヴィーナスフォート ファミリー店,東京都江東区,09:30～21:00,09:30～21:00,09:30～22:00,09:30～22:00,03-5500-5090,65,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1016,ヴィーナスフォート グランド店,東京都江東区,11:00～21:00,11:00～21:00,11:00～22:00,11:00～22:00,03-3599-1675,44,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1070,ダイバーシティ東京 プラザ店,東京都江東区,08:30～22:00,08:30～22:00,08:30～22:00,08:30～22:00,03-3527-8175,46,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
961,アクアシティお台場店,東京都港区,09:00～23:00,09:00～23:00,09:00～23:00,09:00～23:00,03-5564-2010,108,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
218,豊洲センタービル店,東京都江東区,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,03-5548-1458,34,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
699,ららぽーと豊洲店,東京都江東区,10:00～21:00,10:00～21:00,10:00～22:00,10:00～22:00,03-6910-1336,36,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
175,アトレ亀戸店,東京都江東区,07:00～22:00,07:00～22:30,07:00～22:00,07:00～22:00,03-5609-1485,42,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
958,アリオ北砂店,東京都江東区,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,03-5857-2421,46,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
185,イオン南砂店,東京都江東区,08:00～23:00,08:00～23:00,08:00～23:00,08:00～23:00,03-5677-3769,78,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
222,天王洲店,東京都品川区,07:00～22:00,07:00～22:00,07:00～21:00,07:00～21:00,03-5461-0652,50,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
525,東京急行大井町駅店,東京都品川区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-5746-0201,45,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
996,阪急大井町ガーデン店,東京都品川区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-5709-7307,79,
1130,目黒店,東京都品川区,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,03-5719-4668,69,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1198,アトレ目黒1店,東京都品川区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-6408-8441,4,
808,レミィ五反田店,東京都品川区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,03-5795-4321,52,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
24,西五反田店,東京都品川区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-5434-2219,78,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
32,ゲートシティ大崎店,東京都品川区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-5496-3027,111,docomo/ FLET'S（東）/ SoftBank
2041,TSUTAYA 大崎駅前店,東京都品川区,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,03-5434-6969,134,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
901,アトレ大森店,東京都大田区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-5767-9972,28,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2011,羽田空港第２ターミナル南ピア店,東京都大田区,06:00～20:00,06:00～20:00,06:00～20:00,06:00～20:00,03-6428-4943,4,STARBUCKS/ SoftBank/ au/ Wi2300
735,羽田空港第1ターミナル　マーケットプレイス3階店,東京都大田区,06:30～20:00,06:30～20:00,06:30～20:00,06:30～20:00,03-5757-9088,46,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2001,羽田空港第2ターミナル北ピア店,東京都大田区,06:00～20:00,06:00～20:00,06:00～20:00,06:00～20:00,03-6428-4937,6,STARBUCKS/ SoftBank/ au/ Wi2300
