id,name,region,weekday,friday,saturday,sunday,tel,seats,lan
351,海老名店,神奈川県海老名市,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,046-234-3068,76,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1171,海老名中央店,神奈川県海老名市,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,046-236-3133,91,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
922,戸塚東急プラザ店,神奈川県横浜市戸塚区,07:00～22:30,07:00～22:30,07:00～22:30,08:00～22:30,045-860-5171,34,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
348,戸塚店,神奈川県横浜市戸塚区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-881-5355,67,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
380,大船ルミネウィング店,神奈川県鎌倉市,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,0467-48-5081,110,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
396,鎌倉店,神奈川県鎌倉市,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,0467-24-2979,87,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
624,鎌倉御成町店,神奈川県鎌倉市,08:00～21:00,08:00～21:00,08:00～21:00,08:00～21:00,0467-61-2161,53,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
531,逗子駅前店,神奈川県逗子市,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,046-870-6890,46,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
551,ＪＲ東海 小田原駅店,神奈川県小田原市,06:30～22:00,06:30～22:00,06:30～22:00,06:30～22:00,0465-20-1185,39,
1124,小田原飯泉店,神奈川県小田原市,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,0465-39-0039,70,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
132,小田原Ｄｙｎａｃｉｔｙ ＷＥＳＴ店,神奈川県小田原市,10:00～20:00,10:00～20:00,10:00～20:00,10:00～20:00,0465-49-8124,22,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1024,テラスモール湘南店,神奈川県藤沢市,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,0466-38-2175,63,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
685,ミスターマックス湘南藤沢ショッピングセンター店,神奈川県藤沢市,09:30～22:00,09:30～22:00,09:30～22:00,09:30～22:00,0466-33-5681,54,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
322,ルミネ藤沢店,神奈川県藤沢市,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,0466-27-5186,70,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
127,イオン橋本店,神奈川県相模原市緑区,07:00～22:00,07:00～22:00,07:30～22:00,07:30～22:00,042-770-6556,42,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
983,アリオ橋本店,神奈川県相模原市緑区,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,042-700-0281,69,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
997,相模原共和店,神奈川県相模原市中央区,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,042-730-3701,55,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
315,相模大野レガロ店,神奈川県相模原市南区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,042-740-1251,71,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1151,小田急相模大野ステーションスクエア店,神奈川県相模原市南区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,042-767-1080,38,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1092,北里大学病院店,神奈川県相模原市南区,08:00～20:00,08:00～20:00,08:00～18:00,10:00～18:00,042-777-6451,23,STARBUCKS/ au/ Wi2300
81,湘南台駅ビル店,神奈川県藤沢市,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,0466-45-2251,34,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
450,湘南台イトーヨーカドー店,神奈川県藤沢市,09:00～21:30,09:00～21:30,09:00～21:30,09:00～21:30,0466-86-6383,67,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
146,茅ヶ崎スルガビル店,神奈川県茅ヶ崎市,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,0467-58-2139,46,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1108,平塚田村店,神奈川県平塚市,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,0463-51-1281,77,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
254,平塚ラスカ店,神奈川県平塚市,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,0463-24-2407,79,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
569,平塚ＯＳＣ湘南シティ店,神奈川県平塚市,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,0463-25-0561,60,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1052,イオン秦野店,神奈川県秦野市,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,0463-85-2113,59,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1172,伊勢原成瀬店,神奈川県伊勢原市,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,0463-97-2377,73,
1085,東海大学医学部付属病院店,神奈川県伊勢原市,07:30～20:00,07:30～20:00,09:00～18:00,09:00～18:00,0463-90-1230,16,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
